original,this,that,order
Acoraceae=Acorales,Acoraceae,,Acorales
Arisaraceae=Araceae=Alismatales,Arisaraceae,Araceae,Alismatales
Blyxaceae=Hydrocharitaceae=Alismatales,Blyxaceae,Hydrocharitaceae,Alismatales
Caladiaceae=Araceae=Alismatales,Caladiaceae,Araceae,Alismatales
Callaceae=Araceae=Alismatales,Callaceae,Araceae,Alismatales
Colocasiaceae=Araceae=Alismatales,Colocasiaceae,Araceae,Alismatales
Cryptocorynaceae=Araceae=Alismatales,Cryptocorynaceae,Araceae,Alismatales
Damasoniaceae=Alismataceae=Alismatales,Damasoniaceae,Alismataceae,Alismatales
Dracontiaceae=Araceae=Alismatales,Dracontiaceae,Araceae,Alismatales
Elodeaceae=Hydrocharitaceae=Alismatales,Elodeaceae,Hydrocharitaceae,Alismatales
Enhalaceae=Hydrocharitaceae=Alismatales,Enhalaceae,Hydrocharitaceae,Alismatales
Halophilaceae=Hydrocharitaceae=Alismatales,Halophilaceae,Hydrocharitaceae,Alismatales
Heterostylaceae=Juncaginaceae=Alismatales,Heterostylaceae,Juncaginaceae,Alismatales
Hydrillaceae=Hydrocharitaceae=Alismatales,Hydrillaceae,Hydrocharitaceae,Alismatales
Hydrogetonaceae=Potamogetonaceae=Alismatales,Hydrogetonaceae,Potamogetonaceae,Alismatales
Lasiaceae=Araceae=Alismatales,Lasiaceae,Araceae,Alismatales
Lemnaceae=Araceae=Alismatales,Lemnaceae,Araceae,Alismatales
Lilaeaceae=Juncaginaceae=Alismatales,Lilaeaceae,Juncaginaceae,Alismatales
Limnocharitaceae=Alismataceae=Alismatales,Limnocharitaceae,Alismataceae,Alismatales
Monsteraceae=Araceae=Alismatales,Monsteraceae,Araceae,Alismatales
Najadaceae=Hydrocharitaceae=Alismatales,Najadaceae,Hydrocharitaceae,Alismatales
Orontiaceae=Araceae=Alismatales,Orontiaceae,Araceae,Alismatales
Philodendraceae=Araceae=Alismatales,Philodendraceae,Araceae,Alismatales
Pistiaceae=Araceae=Alismatales,Pistiaceae,Araceae,Alismatales
Pothaceae=Araceae=Alismatales,Pothaceae,Araceae,Alismatales
Stratiotaceae=Hydrocharitaceae=Alismatales,Stratiotaceae,Hydrocharitaceae,Alismatales
Thalassiaceae=Hydrocharitaceae=Alismatales,Thalassiaceae,Hydrocharitaceae,Alismatales
Triglochinaceae=Juncaginaceae=Alismatales,Triglochinaceae,Juncaginaceae,Alismatales
Vallisneriaceae=Hydrocharitaceae=Alismatales,Vallisneriaceae,Hydrocharitaceae,Alismatales
Wolffiaceae=Araceae=Alismatales,Wolffiaceae,Araceae,Alismatales
Zannichelliaceae=Potamogetonaceae=Alismatales,Zannichelliaceae,Potamogetonaceae,Alismatales
Actinotaceae=Apiaceae=Apiales,Actinotaceae,Apiaceae,Apiales
Ammiaceae=Apiaceae=Apiales,Ammiaceae,Apiaceae,Apiales
Angelicaceae=Apiaceae=Apiales,Angelicaceae,Apiaceae,Apiales
Aralidiaceae=Torricelliaceae=Apiales,Aralidiaceae,Torricelliaceae,Apiales
Botryodendraceae=Araliaceae=Apiales,Botryodendraceae,Araliaceae,Apiales
Bupleuraceae=Apiaceae=Apiales,Bupleuraceae,Apiaceae,Apiales
Caucaulidaceae=Apiaceae=Apiales,Caucaulidaceae,Apiaceae,Apiales
Coriandraceae=Apiaceae=Apiales,Coriandraceae,Apiaceae,Apiales
Daucaceae=Apiaceae=Apiales,Daucaceae,Apiaceae,Apiales
Eryngiaceae=Apiaceae=Apiales,Eryngiaceae,Apiaceae,Apiales
Ferulaceae=Apiaceae=Apiales,Ferulaceae,Apiaceae,Apiales
Hederaceae=Araliaceae=Apiales,Hederaceae,Araliaceae,Apiales
Hydrocotylaceae=Araliaceae=Apiales,Hydrocotylaceae,Araliaceae,Apiales
Imperatoriaceae=Apiaceae=Apiales,Imperatoriaceae,Apiaceae,Apiales
Lagoeciaceae=Apiaceae=Apiales,Lagoeciaceae,Apiaceae,Apiales
Mackinlayaceae=Apiaceae=Apiales,Mackinlayaceae,Apiaceae,Apiales
Melanophyllaceae=Torricelliaceae=Apiales,Melanophyllaceae,Torricelliaceae,Apiales
Pastinacaceae=Apiaceae=Apiales,Pastinacaceae,Apiaceae,Apiales
Pimpinellaceae=Apiaceae=Apiales,Pimpinellaceae,Apiaceae,Apiales
Saniculaceae=Apiaceae=Apiales,Saniculaceae,Apiaceae,Apiales
Scandicaceae=Apiaceae=Apiales,Scandicaceae,Apiaceae,Apiales
Selinaceae=Apiaceae=Apiales,Selinaceae,Apiaceae,Apiales
Sileraceae=Apiaceae=Apiales,Sileraceae,Apiaceae,Apiales
Smyrniaceae=Apiaceae=Apiales,Smyrniaceae,Apiaceae,Apiales
Umbelliferae=Apiaceae=Apiales,Umbelliferae,Apiaceae,Apiales
Dulongiaceae=Phyllonomaceae=Aquifoliales,Dulongiaceae,Phyllonomaceae,Aquifoliales
Ilicaceae=Aquifoliaceae=Aquifoliales,Ilicaceae,Aquifoliaceae,Aquifoliales
Leptaulaceae=Cardiopteridaceae=Aquifoliales,Leptaulaceae,Cardiopteridaceae,Aquifoliales
Peripterygiaceae=Cardiopteridaceae=Aquifoliales,Peripterygiaceae,Cardiopteridaceae,Aquifoliales
Acristaceae=Arecaceae=Arecales,Acristaceae,Arecaceae,Arecales
Borassaceae=Arecaceae=Arecales,Borassaceae,Arecaceae,Arecales
Calamaceae=Arecaceae=Arecales,Calamaceae,Arecaceae,Arecales
Ceroxylaceae=Arecaceae=Arecales,Ceroxylaceae,Arecaceae,Arecales
Chamaedoraceae=Arecaceae=Arecales,Chamaedoraceae,Arecaceae,Arecales
Cocosaceae=Arecaceae=Arecales,Cocosaceae,Arecaceae,Arecales
Coryphaceae=Arecaceae=Arecales,Coryphaceae,Arecaceae,Arecales
Geonomataceae=Arecaceae=Arecales,Geonomataceae,Arecaceae,Arecales
Iriarteaceae=Arecaceae=Arecales,Iriarteaceae,Arecaceae,Arecales
Lepidocaryaceae=Arecaceae=Arecales,Lepidocaryaceae,Arecaceae,Arecales
Malortieaceae=Arecaceae=Arecales,Malortieaceae,Arecaceae,Arecales
Manicariaceae=Arecaceae=Arecales,Manicariaceae,Arecaceae,Arecales
Moreniaceae=Arecaceae=Arecales,Moreniaceae,Arecaceae,Arecales
Nypaceae=Arecaceae=Arecales,Nypaceae,Arecaceae,Arecales
Palmae=Arecaceae=Arecales,Palmae,Arecaceae,Arecales
Phoenicaceae=Arecaceae=Arecales,Phoenicaceae,Arecaceae,Arecales
Phytelephantaceae=Arecaceae=Arecales,Phytelephantaceae,Arecaceae,Arecales
Pseudophoenicaceae=Arecaceae=Arecales,Pseudophoenicaceae,Arecaceae,Arecales
Sabalaceae=Arecaceae=Arecales,Sabalaceae,Arecaceae,Arecales
Sagaceae=Arecaceae=Arecales,Sagaceae,Arecaceae,Arecales
Synechanthaceae=Arecaceae=Arecales,Synechanthaceae,Arecaceae,Arecales
Agapanthaceae=Amaryllidaceae=Asparagales,Agapanthaceae,Amaryllidaceae,Asparagales
Agavaceae=Asparagaceae=Asparagales,Agavaceae,Asparagaceae,Asparagales
Alliaceae=Amaryllidaceae=Asparagales,Alliaceae,Amaryllidaceae,Asparagales
Aloaceae=Xanthorrhoeaceae=Asparagales,Aloaceae,Xanthorrhoeaceae,Asparagales
Androsynaceae=Tecophilaeaceae=Asparagales,Androsynaceae,Tecophilaeaceae,Asparagales
Anemarrhenaceae=Asparagaceae=Asparagales,Anemarrhenaceae,Asparagaceae,Asparagales
Anthericaceae=Asparagaceae=Asparagales,Anthericaceae,Asparagaceae,Asparagales
Aphyllanthaceae=Asparagaceae=Asparagales,Aphyllanthaceae,Asparagaceae,Asparagales
Apostasiaceae=Orchidaceae=Asparagales,Apostasiaceae,Orchidaceae,Asparagales
Asphodelaceae=Xanthorrhoeaceae=Asparagales,Asphodelaceae,Xanthorrhoeaceae,Asparagales
Aspidistraceae=Asparagaceae=Asparagales,Aspidistraceae,Asparagaceae,Asparagales
Behniaceae=Asparagaceae=Asparagales,Behniaceae,Asparagaceae,Asparagales
