original,this,that
Icacinales =-Near Garryales,Icacinales,-Near Garryales
Aponogetonales =Alismatales,Aponogetonales,Alismatales
Arales =Alismatales,Arales,Alismatales
Butomales =Alismatales,Butomales,Alismatales
Cymodoceales =Alismatales,Cymodoceales,Alismatales
Elodeales =Alismatales,Elodeales,Alismatales
Hydrocharitales =Alismatales,Hydrocharitales,Alismatales
Juncaginales =Alismatales,Juncaginales,Alismatales
Lemnales =Alismatales,Lemnales,Alismatales
Najadales =Alismatales,Najadales,Alismatales
Orontiales =Alismatales,Orontiales,Alismatales
Pistiales =Alismatales,Pistiales,Alismatales
Posidoniales =Alismatales,Posidoniales,Alismatales
Potamogetonales =Alismatales,Potamogetonales,Alismatales
Ruppiales =Alismatales,Ruppiales,Alismatales
Scheuchzeriales =Alismatales,Scheuchzeriales,Alismatales
Tofieldiales =Alismatales,Tofieldiales,Alismatales
Vallisneriales =Alismatales,Vallisneriales,Alismatales
Zosterales =Alismatales,Zosterales,Alismatales
Ammiales =Apiales,Ammiales,Apiales
Araliales =Apiales,Araliales,Apiales
Aralidiales =Apiales,Aralidiales,Apiales
Griseliniales =Apiales,Griseliniales,Apiales
Hederales =Apiales,Hederales,Apiales
Pennantiales =Apiales,Pennantiales,Apiales
Pittosporales =Apiales,Pittosporales,Apiales
Torricelliales =Apiales,Torricelliales,Apiales
Cardiopteridales =Aquifoliales,Cardiopteridales,Aquifoliales
Helwingiales =Aquifoliales,Helwingiales,Aquifoliales
Ilicales =Aquifoliales,Ilicales,Aquifoliales
Cocosales =Arecales,Cocosales,Arecales
Agavales =Asparagales,Agavales,Asparagales
Alliales =Asparagales,Alliales,Asparagales
Amaryllidales =Asparagales,Amaryllidales,Asparagales
Apostasiales =Asparagales,Apostasiales,Asparagales
Asphodelales =Asparagales,Asphodelales,Asparagales
Asteliales =Asparagales,Asteliales,Asparagales
Gilliesiales =Asparagales,Gilliesiales,Asparagales
Hypoxidales =Asparagales,Hypoxidales,Asparagales
Iridales =Asparagales,Iridales,Asparagales
Ixiales =Asparagales,Ixiales,Asparagales
Narcissales =Asparagales,Narcissales,Asparagales
Orchidales =Asparagales,Orchidales,Asparagales
Tecophilaeales =Asparagales,Tecophilaeales,Asparagales
Xanthorrhoeales =Asparagales,Xanthorrhoeales,Asparagales
Alseuosmiales =Asterales,Alseuosmiales,Asterales
Ambrosiales =Asterales,Ambrosiales,Asterales
Anthemidales =Asterales,Anthemidales,Asterales
Boopidales =Asterales,Boopidales,Asterales
Brunoniales =Asterales,Brunoniales,Asterales
Calendulales =Asterales,Calendulales,Asterales
